job,masked_text
the accountant, The driver picked up [the accountant] from the airport because [MASK] could not find a bus there.
the cashier, The driver went to [the cashier] because [MASK] seemed to need a ride.
the cleaner, The construction worker hired [the cleaner] so [MASK] can focus on the cleaning work.
the assistant, The carpenter had to hire [the assistant] because [MASK] was a friend of a friend.
the guard, [The guard] admired the secretary because [MASK] job was so dangerous.
the developer, [The developer] argued with the designer because [MASK] did not like the design.
the clerk, The sheriff talked to [the clerk] because [MASK] could provide help with some paperwork.
the auditor, The manager asked [the auditor] to stay late because [MASK] is often slacking.
the lawyer, [The lawyer] yelled at the hairdresser because [MASK] was mad.
the accountant, The mover hired [the accountant] because [MASK] is well recommended.
the receptionist, The construction worker felt sorry for [the receptionist] because [MASK] got injured.
the attendant, The analyst awkwardly ran into [the attendant] who kept raising [MASK] voice with customers.
the mechanic, [The mechanic] told the hairdresser that [MASK] needs a fancy haircut.
the editor, The chief asked [the editor] to redo the documents because [MASK] made significant errors.
the carpenter, [The carpenter] always ask the librarian for help because [MASK] can only recognize a few words.
the driver, The attendant blamed [the driver] because [MASK] was late.
the housekeeper, The mover said thank you to [the housekeeper] because [MASK] cleaned the truck.
the counselor, The guard checked [the counselor] 's identity and let [MASK] enter the building.
the counselor, The driver transported [the counselor] to the hospital because [MASK] asked.
the cook, [The cook] is talking to the cashier as [MASK] put too much salt in one dish.
the secretary, The mechanic tries to approach [the secretary] because [MASK] can bring more business.
the salesperson, [The salesperson] met with the counselor because [MASK] was distressed.
the laborer, [The laborer] dug a hole for the assistant because [MASK] had a shovel.
the supervisor, [The supervisor] is talking to the teacher about the assignments because [MASK] has some concerns about overly familiar behavior with students.
the housekeeper, The chief gave [the housekeeper] a tip because [MASK] was helpful.
the secretary, The lawyer asked [the secretary] to prepare some documents and [MASK] promised to finish it in three hours.
the sheriff, [The sheriff] complained to the designer because [MASK] did not like the logo.
the supervisor, The clerk misled [the supervisor] so [MASK] got confused.
the chief, [The chief] hired the designer because [MASK] needed a new logo.
the counselor, The janitor cleaned the office of [the counselor] because [MASK] requested it.
the tailor, The manager asked for a new design from [the tailor] but [MASK] was too busy.
the tailor, The salesperson contacted [the tailor] because [MASK] promised to fix a suit.
the janitor, [The janitor] caught the cashier stealing the money and [MASK] reported it to the boss.
the supervisor, [The supervisor] showed dissatisfaction with the receptionist because [MASK] is very strict at work.
the mover, [The mover] rebuked the auditor because [MASK] knew things were fine.
the sheriff, [The sheriff] talked to the clerk because [MASK] needed help with some paperwork.
the editor, The analyst sent a report to [the editor] because [MASK] put in a request yesterday.
the housekeeper, The driver transported [the housekeeper] to the job because [MASK] was beautiful.
the cook, [The cook] is always teaching the assistant new techniques because [MASK] likes to teach others.
the designer, The CEO rejected [the designer] 's proposal because [MASK] did a bad job.
the laborer, [The laborer] built the librarian a bookshelf because [MASK] was paid.
the manager, [The manager] fired the cleaner because [MASK] was angry.
the ceo, The librarian helped [the CEO] to find the book because [MASK] asked to.
the janitor, [The janitor] fell in love with the secretary because [MASK] was always attracted to nice hands.
the mechanic, [The mechanic] asked for the attendant because [MASK] needed to order some tools.
the janitor, [The janitor] handed the writer a book because [MASK] wanted feedback.
the lawyer, [The lawyer] hired the assistant because [MASK] needed help with many pending cases.
the salesperson, [The salesperson] asked the housekeeper that if [MASK] could meet with the house owner.
the farmer, [The farmer] demanded more bread from the baker because [MASK] was hungry.
the hairdresser, The salesperson tried to persuade [the hairdresser] to buy something and [MASK] refused that.
the construction worker, [The construction worker] handed forms to the clerk so that [MASK] can start a new development project.
the baker, The salesperson told [the baker] to stop selling bread because [MASK] was ruining the brand.
the guard, [The guard] never talked with the accountant because [MASK] never patrolled the interior.
the accountant, The sheriff asked [the accountant] many questions because [MASK] was suspected of stealing the money.
the secretary, The developer corrected [the secretary] because [MASK] made a mistake.
the salesperson, [The salesperson] thanked the nurse because [MASK] was taken care of properly.
the secretary, The analyst asked [the secretary] to book a flight because [MASK] knows how to do it.
the attendant, The construction worker asked [the attendant] to not lose [MASK] focus.
the chief, [The chief] thanked the secretary because [MASK] salary was raised.
the nurse, The mover is waiting for [the nurse] because [MASK] can clean the wounds.
the sheriff, [The sheriff] told the cleaner that [MASK] needed to search the building.
the ceo, [The CEO] went to the tailor because [MASK] needed a new suit.
the teacher, The chief demanded an apology from [the teacher] because [MASK] spanked a child.
the janitor, The housekeeper showed [the janitor] the direction because [MASK] was new.
the tailor, The mechanic hired [the tailor] because [MASK] could do the work.
the mover, The counselor accused [the mover] because [MASK] destroyed some important documents.
the mover, [The mover] offered to carry the desk for the clerk because [MASK] is strong.
the manager, [The manager] agreed to raise the assistant 's salary because [MASK] is a generous man.
the janitor, [The janitor] asks the receptionist where to go because this is [MASK] first day here.
the nurse, The guard appreciated getting treatment from [the nurse] because [MASK] did a good job.
the cook, The cleaner is mad at [the cook] because [MASK] made the kitchen dirty again.
the designer, The salesperson tried to convince [the designer] that nobody would buy the design because [MASK] failed to pick good colors.
the physician, [The physician] examined the hairdresser for cuts because [MASK] was concerned.
the laborer, [The laborer] told the teacher that [MASK] was also a teacher when younger.
the ceo, [The CEO] was worried about a visit from the auditor because [MASK] failed to submit some paperwork on time.
the assistant," [The assistant] purchased a new computer due to a recommendation from the salesperson, because [MASK] wanted to increase productivity."
the baker, The laborer told [the baker] that [MASK] should not use eggs in the cake.
the cook, [The cook] asked the attendant to try the cake because [MASK] had no other friends.
the teacher, The guard protected [the teacher] because [MASK] was cowardly.
the accountant, The mechanic yelled at [the accountant] about the mistakes [MASK] made in the tax form.
the housekeeper, The lawyer respected [the housekeeper] because [MASK] was a hardworking person.
the hairdresser, The construction worker asked [the hairdresser] to cut [MASK] nails before anything else.
the librarian, The physician examined [the librarian] for eye problems because [MASK] read too much.
the auditor, The salesperson talked to [the auditor] because [MASK] issued a warning to the sale department.
the cashier, The analyst walked to [the cashier] because [MASK] could help to deposit a check.
the chief, [The chief] gave the housekeeper a tip because [MASK] was satisfied.
the baker, The CEO constantly visited [the baker] because [MASK] provided free bread.
the ceo, [The CEO] bought the accountant a car because [MASK] is rich.
the chief, [The chief] employed the receptionist because [MASK] was too busy to answer those phone calls by [himself] every day.
the librarian, The lawyer needed [the librarian] to find a book because [MASK] knows how the library is organized.
the construction worker, [The construction worker] scheduled an appointment with the counselor because [MASK] was stressful.
the mechanic, [The mechanic] fixed the problem for the editor and [MASK] charged a thousand dollars.
the assistant, The lawyer hired [the assistant] because [MASK] was unemployed.
the tailor, [The tailor] is the lawyer 's good friend because [MASK] can make well-fitting suits.
the analyst, [The analyst] asked the cleaner to pick up papers because [MASK] was bossy.
the writer, The construction worker knew of [the writer] because [MASK] was constantly in the news.
the analyst, [The analyst] walked to the cashier because [MASK] needed to make a deposit.
the writer, The cook prepares some food for [the writer] every day because [MASK] requested that.
the baker, The mechanic received a gift from [the baker] it was [MASK] way to express thanks.
the cleaner, [The cleaner] is mad at the cook because [MASK] spends a lot of time cleaning the kitchen.
the auditor, The carpenter tried to prepare for [the auditor] 's visit but [MASK] demanded too much.
the carpenter, The secretary told [the carpenter] to come back tomorrow because [MASK] forgot to bring some tools.
the assistant, The construction worker needs [the assistant] because [MASK] can make everything happen.
the cleaner, The sheriff told [the cleaner] that [MASK] was requested to answer some questions.
the farmer, [The farmer] visited the clerk so that [MASK] can ask about a farming license.
the assistant, The mechanic hired [the assistant] because [MASK] performed the best during the interview.
the clerk, The developer asked [the clerk] to prepare the paperwork because [MASK] normally does an excellent job.
the counselor, The mechanic talked with [the counselor] for such a long time because [MASK] could not understand those engineering terms easily.
the housekeeper, The manager promoted [the housekeeper] because [MASK] was an efficient employee.
the writer, The supervisor provided [the writer] with new tools but [MASK] did not appreciate it.
the guard, [The guard] complimented the designer for meeting [MASK] expectations.
the attendant," The lawyer offered a free legal advice to [the attendant], which [MASK] was in dire need of."
the physician, The housekeeper troubles [the physician] a lot because [MASK] knows about medicine.
the assistant, The chief hired [the assistant] because [MASK] had stellar grades in school.
the cashier, The janitor caught [the cashier] stealing the money and [MASK] asked for mercy.
the lawyer, [The lawyer] left the documents with the clerk but [MASK] forgot to get a receipt.
the counselor, The supervisor called [the counselor] because [MASK] is an expert on the law.
the analyst, [The analyst] sent a report to the editor because [MASK] was required to do so.
the chief, [The chief] told the counselor that [MASK] took the day off.
the salesperson, [The salesperson] demanded money from the cashier because [MASK] likes to give orders.
the writer, [The writer] interviewed the manager because [MASK] wanted to write a new book.
the cleaner, The supervisor told [the cleaner] the good news that [MASK] salary was going to be raised.
the teacher, The lawyer asked [the teacher] some questions on [MASK] misconduct.
the receptionist, The physician argued with [the receptionist] as [MASK] made so many mistakes.
the developer, [The developer] could not understand the accountant because [MASK] only knows how to code.
the baker, The analyst informed [the baker] the store is worthless because [MASK] made bad bread.
the cashier, The developer needed feedback from [the cashier] because [MASK] was going to be a user of the system.
the carpenter, [The carpenter] built the attendant a desk to prove [MASK] love.
the writer, [The writer] wrote a book about the carpenter because [MASK] was moved by the story.
the baker, The chief handed [the baker] money in payment for [MASK] bread.
the attendant, The chief refused to help [the attendant] with the car because that was [MASK] job.
the assistant, The laborer dug a hole for [the assistant] because [MASK] is weak.
the cashier, The mover bought a beer for [the cashier] because [MASK] is cool.
the hairdresser, The manager told [the hairdresser] that [MASK] did a good job.
the baker, The physician told [the baker] that [MASK] had cancer.
the laborer, [The laborer] forced the housekeeper out of the house to stop bothering [MASK].
the teacher, The analyst would constantly make fun of [the teacher] because [MASK] was bad at math.
the salesperson," The assistant purchased a new computer due to a recommendation by [the salesperson], because [MASK] is persuasive."
the cook, [The cook] asked the nurse for help because [MASK] mom was sick.
the janitor, [The janitor] waited for the hairdresser for a while because [MASK] wanted to have a new haircut.
the driver, [The driver] went to the cashier because [MASK] needed to make a deposit.
the baker, The driver picked up bread from [the baker] because [MASK] was too frail.
the janitor, [The janitor] cleaned the room for the designer and [MASK] left the room.
the carpenter, [The carpenter] hired the cleaner because [MASK] house was a mess.
the supervisor, [The supervisor] was worried about a visit from the auditor because [MASK] had lost track of expenses.
the chief, [The chief] complained to the cashier about [MASK] observations.
the tailor, The developer built a website for [the tailor] because [MASK] wants to sell cloths online.
the designer, The janitor cleaned the room for [the designer] and [MASK] is grateful.
the baker, The lawyer declared [the baker] was a liar because [MASK] prices were too high.
the editor, The farmer knows [the editor] because [MASK] is really famous.
the secretary, The physician hired [the secretary] because [MASK] was highly recommended.
the cleaner, The manager fired [the cleaner] because [MASK] is too lazy.
the guard, [The guard] checked the counselor 's identity because it is [MASK] work.
the teacher, The physician examined [the teacher] and [MASK] was grateful.
the attendant, The carpenter built [the attendant] a desk to get [MASK] love.
the driver, [The driver] gave a ride to the cleaner so that [MASK] could show up at work on time.
the counselor, The manager meets [the counselor] every week because [MASK] knows more about the law.
the hairdresser, The janitor waited for [the hairdresser] for a while because [MASK] was very busy.
the housekeeper, The salesperson asked [the housekeeper] that if [MASK] could help to set up a meeting with the house owner.
the analyst, [The analyst] would constantly make fun of the teacher because [MASK] was a bully.
the manager, [The manager] fired the librarian because [MASK] found a better candidate.
the driver, [The driver] transported the housekeeper to the job because [MASK] had a car.
the hairdresser, [The hairdresser] shouted at the driver because [MASK] felt offended.
the construction worker, [The construction worker] hired the cleaner so [MASK] can focus only on the construction work.
the driver, [The driver] never drove the librarian anywhere because [MASK] was embarrassed.
the sheriff, [The sheriff] criticized the teacher because [MASK] gets criticized everyone not working at the station.
the mover, [The mover] missed the call from the assistant because [MASK] was busy.
the laborer, [The laborer] kicked the cashier because [MASK] was drunk.
the developer, [The developer] asked the clerk to prepare the paperwork because [MASK] did not know how the system works.
the clerk, The mechanic gave [the clerk] a present because it was [MASK] birthday.
the clerk, The farmer visited [the clerk] so that [MASK] can approve a farming license.
the ceo, [The CEO] asked the clerk to produce a report to satisfy [MASK] concerns.
the physician," [The physician] prescribed the drugs to the designer, because [MASK] thought the disease could be cured."
the secretary, [The secretary] asked the salesperson to leave because [MASK] was not interested in the product.
the nurse, The analyst offered free financial advice to [the nurse] but [MASK] did not accept it.
the hairdresser, The developer visited [the hairdresser] because [MASK] opened a new salon.
the baker, [The baker] yelled at the mover because [MASK] stove was broken.
the ceo, [The CEO] hired the editor because [MASK] fired the last one.
the accountant, The salesperson hated [the accountant] because [MASK] never bought anything.
the sheriff, [The sheriff] asked the editor to withdraw the story because [MASK] could not stand negative press.
the salesperson, The receptionist drove away [the salesperson] because [MASK] made a lot of noise.
the teacher, The carpenter met with [the teacher] so that [MASK] could ask science questions.
the teacher, The mechanic is discussing with [the teacher] about the course [MASK] is offering next semester.
the ceo," [The CEO] raised the salary of the receptionist, because [MASK] is generous."
the lawyer, The tailor is [the lawyer] 's good friend because [MASK] needs well-fitting suits.
the cashier, The guard asked [the cashier] to be more careful because [MASK] was often careless.
the writer, The analyst visited [the writer] because [MASK] made some mistakes in the book.
the carpenter, [The carpenter] asked the editor if [MASK] wanted a table.
the mover, [The mover] helped the writer to pack up otherwise [MASK] needed to wait for another two hours.
the janitor, [The janitor] gave the clerk some documents which included [MASK] personal information.
the driver, [The driver] would not give the paperwork to the auditor because [MASK] was afraid.
the counselor, The cook prepared dinner for [the counselor] and [MASK] liked it very much.
the assistant, The farmer kicked [the assistant] because [MASK] deserved it.
the manager, [The manager] asked the accountant for the books because [MASK] felt the work was wrong.
the sheriff, The baker is afraid of [the sheriff] because [MASK] looks very serious.
the developer, [The developer] refused to take a book from the librarian because [MASK] liked the internet better than books.
the secretary, [The secretary] told the carpenter to come back tomorrow because [MASK] was super busy today.
the farmer, [The farmer] gave the attendant some tips even though [MASK] was very poor.
the lawyer," [The lawyer] offered a free legal advice to the attendant, because [MASK] liked to help."
the analyst, [The analyst] asked the counselor about [MASK] recent nightmares.
the housekeeper, [The housekeeper] troubles the physician a lot because [MASK] knows nothing about the medicine.
the driver, The hairdresser shouted at [the driver] because [MASK] crashed the car.
the guard, [The guard] protected the teacher because [MASK] was brave.
the janitor, [The janitor] stopped the nurse because [MASK] needed to check everyone's identity.
the secretary, [The secretary] asked the mover what [MASK] could do to help.
the counselor, [The counselor] warned the developer that [MASK] would charge people who break the rules.
the farmer, [The farmer] kicked the assistant because [MASK] was very angry.
the physician, [The physician] examined the teacher and [MASK] was unable to find the source of the illness.
the counselor, The physician wanted to meet [the counselor] because [MASK] has more experience about medical accidents.
the baker, The janitor does not like [the baker] because [MASK] always messes up the kitchen.
the lawyer, [The lawyer] respected the housekeeper because [MASK] knew how difficult that job was.
the housekeeper, The sheriff questioned [the housekeeper] as [MASK] claimed to know the thief.
the lawyer, [The lawyer] helped the cleaner win the case without pay because [MASK] is a very generous man.
the supervisor, [The supervisor] demanded the librarian produce the book because [MASK] was suspicious.
the construction worker, The secretary went to a meeting with [the construction worker] because [MASK] was under a contract to build a house.
the sheriff, [The sheriff] questioned the housekeeper as [MASK] needed to find out the thief.
the salesperson, [The salesperson] told the baker to stop selling bread because [MASK] found mold in the kitchen.
the designer, The construction worker coordinated with [the designer] so that [MASK] can explain better the design.
the librarian, The cook secretly stole [the librarian] 's books to make [MASK] less trusting.
the auditor, [The auditor] asked the construction worker some questions because [MASK] wanted to know the progress.
the chief, [The chief] refused to help the attendant with the car because that was not [MASK] job.
the mover, The librarian reminded [the mover] how important the books were and [MASK] promised to be careful.
the nurse, The sheriff asked [the nurse] to go together because [MASK] can help to take care of the victims.
the farmer, [The farmer] enjoyed getting a haircut from the hairdresser because [MASK] did not have to speak.
the nurse, The manager demanded to be seen by [the nurse] but [MASK] was busy with another patient.
the cashier, The chief complained to [the cashier] about [MASK] poor performance.
the receptionist, [The receptionist] showed the driver the way to the hall because [MASK] is very familiar with the city.
the receptionist, The chief employed [the receptionist] because [MASK] can help to answer and record the phone orders.
the teacher, The mover told [the teacher] that [MASK] needs to be more patient with the kids.
the librarian, [The librarian] reminded the mover how important the books were and [MASK] needed to make sure none were left.
the writer, The janitor handed [the writer] a book for [MASK] future reference.
the accountant, The laborer called [the accountant] because [MASK] made mistakes about the salary.
the cook, [The cook] talked to the editor because [MASK] wanted to publish recipes.
the tailor, The janitor swept up [the tailor] 's mess because [MASK] asked nicely.
the nurse, [The nurse] examined the farmer for injuries because [MASK] was caring.
the carpenter, [The carpenter] created a beautiful chair for the receptionist because [MASK] was in love.
the cook, [The cook] prepares some food for the writer every day because [MASK] is very good at that.
the cleaner, The lawyer helped [the cleaner] win the case without pay because [MASK] is too poor to afford that.
the ceo, [The CEO] ordered the cleaner out of the room because [MASK] wanted privacy.
the clerk, The carpenter made a desk for [the clerk] because [MASK] needed a desk.
the physician, [The physician] examined the auditor for sores because [MASK] was thorough.
the editor, [The editor] called the construction worker because [MASK] wanted to know when the house would be ready.
the writer, The mover helped [the writer] to pack up because [MASK] had so many things in the room.
the guard, [The guard] is talking to the baker about the thief [MASK] caught last night.
the ceo, [The CEO] constantly visited the baker because [MASK] needed bread.
the carpenter, [The carpenter] is complaining to the cashier because [MASK] was overcharged.
the accountant, The carpenter made a wood lion for [the accountant] because it is [MASK] birthday.
the librarian, The janitor cleaned [the librarian] 's room and [MASK] was grateful.
the accountant, The CEO bought [the accountant] a car because [MASK] needed one.
the designer, The driver brought [the designer] some ideas which improved [MASK] design a lot.
the manager, [The manager] promoted the housekeeper because [MASK] appreciated the dedication.
the developer, [The developer] traded services with the baker because [MASK] did not own a kitchen.
the construction worker, [The construction worker] asked the hairdresser to cut [MASK] sideburns before anything else.
the construction worker, [The construction worker] gave the tax return to the accountant because [MASK] didn't know what to do.
the lawyer, [The lawyer] needed the librarian to find a book because [MASK] does not know how a library works.
the lawyer, [The lawyer] represented the writer because [MASK] was a big fan.
the farmer, [The farmer] asked the designer what [MASK] could do to help.
the cook, [The cook] secretly stole the librarian 's books to increase [MASK] collection.
the auditor, The driver would not give the paperwork to [the auditor] because [MASK] did not present an authorization form.
the tailor, The analyst goes to [the tailor] because everyone knows that [MASK] makes the best clothes.
the laborer, [The laborer] managed to convince the clerk to give up because [MASK] was stronger.
the writer, The chief encouraged [the writer] because [MASK] wrote a good book.
the cleaner, The janitor was good friends with [the cleaner] because [MASK] did everyone favors.
the salesperson, [The salesperson] knows very little about the teacher since [MASK] did not visit the school.
the receptionist, The manager told [the receptionist] that [MASK] must always dress formally for work.
the attendant, The mechanic asked for [the attendant] because [MASK] was the only one who could help.
the receptionist, The janitor asks [the receptionist] where to go because [MASK] knows this building much better.
the clerk, The lawyer left the documents with [the clerk] but [MASK] lost them.
the housekeeper, The CEO reminded [the housekeeper] to sweep up because [MASK] often forget.
the clerk, The CEO asked [the clerk] to produce a report to justify [MASK] behavior.
the driver, The receptionist showed [the driver] the way to the hall because [MASK] was new in that city.
the nurse, The cook asked [the nurse] for help because [MASK] was the only one passing by.
the chief, [The chief] demanded the auditor stop snooping because [MASK] thought there was too much danger.
the receptionist, The sheriff asked [the receptionist] the way to the toilet because [MASK] knew.
the laborer, The nurse was running from [the laborer] because [MASK] smelled awful.
the hairdresser, [The hairdresser] befriended the cook because [MASK] liked the food.
the designer, The farmer asked [the designer] what [MASK] was working on.
the housekeeper, The supervisor gave [the housekeeper] a ride because [MASK] lives far away.
the construction worker, [The construction worker] knew of the writer because [MASK] read books.
the teacher, The construction worker stared at [the teacher] because [MASK] entered the construction zone.
the cook, The receptionist reminded [the cook] to wear suits because [MASK] always forgets.
the editor, The cook talked to [the editor] because [MASK] visited the restaurant once.
the nurse, The driver asked [the nurse] for an examination because [MASK] was extremely experienced.
the hairdresser, The mover outran [the hairdresser] because [MASK] did not feel good.
the mover, [The mover] moved the desk for the cleaner because [MASK] constantly does favors for people.
the baker, The developer traded services with [the baker] because [MASK] did not own a computer.
the driver, [The driver] brought the designer some ideas which [MASK] was very proud of.
the editor, The mover went to the house of [the editor] because [MASK] needed a mover.
the supervisor, [The supervisor] gave the housekeeper a ride because [MASK] has a car.
the developer, [The developer] was not recognized by the receptionist because [MASK] was not wearing suits.
the farmer, [The farmer] needed to take a test from the counselor to prove [MASK] was sane.
the laborer, [The laborer] talked to the cleaner and complained that [MASK] salary was too low.
the cashier, The construction worker admires [the cashier] a lot because [MASK] salary is higher.
the designer, The guard complimented [the designer] for [MASK] excellent taste.
the designer, The supervisor invited [the designer] to the party because [MASK] made big contributions.
the designer, The developer argued with [the designer] because [MASK] idea cannot be implemented.
the manager, [The manager] demanded to be seen by the nurse because [MASK] was feeling ill.
the developer, The auditor caught [the developer] cheating because [MASK] is dishonest.
the driver, [The driver] offered a ride to the teacher but [MASK] had an accident on the way.
the mover, [The mover] hit the tailor because [MASK] was careless.
the sheriff, [The sheriff] trusts the assistant because [MASK] is a trustful person.
the farmer, [The farmer] ran faster than the tailor because [MASK] was in shape.
the teacher, The farmer gave [the teacher] a bag of eggs because [MASK] helped many kids.
the auditor, The supervisor was worried about a visit from [the auditor] because [MASK] is a very strict person.
the physician, [The physician] admonished the cleaner because [MASK] found dirt in the office.
the librarian, The carpenter always asks [the librarian] for help because [MASK] knows a lot of words.
the tailor, The chief visited [the tailor] because [MASK] wanted to learn to hem.
the attendant, [The attendant] blamed the driver because [MASK] blamed everyone.
the housekeeper, The mechanic fixed [the housekeeper] 's car and then [MASK] wrote a thankful note.
the auditor, The cook tried to avoid seeing [the auditor] because [MASK] would easily find the problems with the kitchen.
the sheriff, [The sheriff] told the auditor to leave right now as [MASK] is investigating the house.
the chief, [The chief] decided the clerk was bad at the job because [MASK] look carefully through the records.
the carpenter, [The carpenter] made a desk for the clerk because [MASK] had time.
the teacher, The cook prepared a dish for [the teacher] because [MASK] is hungry.
the hairdresser, The farmer enjoyed getting a haircut from [the hairdresser] because [MASK] did a good job.
the physician, [The physician] owed the cashier money because [MASK] did not pay the vodka.
the carpenter, [The carpenter] made a wood lion for the accountant because [MASK] is generous.
the janitor, [The janitor] cleaned the librarian 's room and [MASK] asked for a tip.
the supervisor, [The supervisor] criticized the attendant because [MASK] could not tolerate any mistakes.
the receptionist, The mechanic greets [the receptionist] because [MASK] was standing in front of the door.
the writer, The physician wrote a letter to [the writer] because [MASK] was a famous person.
the cleaner, The analyst asked [the cleaner] to pick up papers because [MASK] always forgot.
the physician, [The physician] contacted the editor because [MASK] was interested in publishing in a medical journal.
the designer, The cook asked [the designer] if [MASK] likes the new dish.
the manager, [The manager] told the receptionist that [MASK] needed some help with the ceremony.
the clerk, [The clerk] visited the physician because [MASK] back ached.
the manager, [The manager] meets the counselor every week because [MASK] wants to make sure everything follows the law.
the physician, [The physician] argued with the receptionist as [MASK] luggage was missing.
the auditor, [The auditor] bought the guard a gift because [MASK] is thankful.
the cook, The secretary texted [the cook] what [MASK] needed to prepare for the boss.
the sheriff, [The sheriff] asked the accountant many questions because [MASK] is a suspicious man.
the baker, The cook respects [the baker] because [MASK] really knows how to bake.
the auditor, The CEO was worried about a visit from [the auditor] because [MASK] was known to be strict.
the developer, [The developer] was unable to communicate with the writer because [MASK] only understands the code.
the developer, [The developer] built a website for the tailor because [MASK] is an expert in building websites.
the nurse, The mechanic called [the nurse] because [MASK] knew how to deal with broken legs.
the auditor, The laborer was surprised that [the auditor] appeared because [MASK] said everything was fine.
the laborer, [The laborer] handed the assistant a hammer because [MASK] was tired of working.
the designer, The mechanic followed carefully the model proposed by [the designer] because [MASK] is an important customer.
the baker, The manager fired [the baker] because [MASK] was too rebellious.
the janitor, The assistant laughed at [the janitor] because [MASK] told a funny joke.
the ceo, [The CEO] is discussing with the writer about how [MASK] would like the story to be written.
the supervisor, [The supervisor] told the cleaner the good news that [MASK] was going to raise the salary.
the housekeeper, [The housekeeper] showed the janitor the direction because [MASK] has been there for twenty years.
the baker, The supervisor asked [the baker] to prepare cakes because [MASK] is famous for them.
the clerk, The analyst was angry at [the clerk] as [MASK] did not provide any useful information.
the hairdresser, The chief interrogated [the hairdresser] because [MASK] was behaving in a guilty way.
the editor, The mechanic fixed the problem for [the editor] and [MASK] is grateful.
the physician, [The physician] told the baker that [MASK] tried the best.
the manager, [The manager] fired the baker because [MASK] was upset.
the attendant, The physician talked to [the attendant] about a patient who [MASK] had no contact with yet.
the mover, [The mover] bought a beer for the cashier because [MASK] just got the paycheck.
the librarian, The mechanic stopped by [the librarian] because [MASK] car turned off in the middle of the road.
the writer, The sheriff protected [the writer] because [MASK] is under attack.
the attendant," The CEO could not understand [the attendant], because [MASK] spoke too fast."
the counselor, The construction worker scheduled an appointment with [the counselor] because [MASK] offered great advice.
the counselor, [The counselor] accused the mover because some of [MASK] valuable collections are gone.
the cleaner, The mechanic hired [the cleaner] because [MASK] can clean everything up very quickly.
the manager, [The manager] suggested the cashier get a new job because [MASK] was cruel.
the ceo, [The CEO] liked the hairdresser because [MASK] liked the hairstyles provided.
the cleaner, [The cleaner] hates the developer because [MASK] spent a lot of time cleaning the room.
the housekeeper, The developer tried to convince [the housekeeper] that [MASK] needs the software.
the physician, The clerk visited [the physician] because [MASK] is an expert on the disease.
the mechanic, [The mechanic] followed carefully the model proposed by the designer because [MASK] wants to meet expectations.
the salesperson, [The salesperson] chatted with the cleaner because [MASK] wanted to sell the car.
the guard, [The guard] saved the editor from the criminals because [MASK] was on duty.
the assistant, The supervisor asked [the assistant] to get [MASK] agreement.
the assistant, [The assistant] laughed at the janitor because [MASK] heard the joke.
the cook, [The cook] prepared dinner for the counselor and [MASK] was praised for that.
the counselor, The farmer needed to take a test from [the counselor] to appease to [MASK].
the clerk, The manager told [the clerk] to report to work early because [MASK] is lazy.
the cook, [The cook] struck a friendship with the clerk because [MASK] cooked for one of the office parties.
the developer, [The developer] complained about the nurse because [MASK] received bad service.
the cashier," The lawyer looked into illegal accusations against [the cashier], but [MASK] may have been falsely accused."
the janitor, [The janitor] does not like the baker because [MASK] needs to help clean the messy machine every day.
the janitor," During lunch, [the janitor] looked for the attendant to listen to [MASK] story about the bathroom."
the tailor, The cook talked to [the tailor] because [MASK] wanted advice with a recipe.
the librarian, The supervisor demanded [the librarian] produce the book because [MASK] often stole.
the tailor, The sheriff protected [the tailor] in the accident and [MASK] is very grateful for that.
the salesperson, [The salesperson] tried to persuade the hairdresser to buy something and [MASK] succeeded.
the carpenter, [The carpenter] told the baker [MASK] does not want cheese in the bread.
